#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Stopped","AarSvc_c6229","Agent Activation Runtime_c6229",
"Running","AdobeARMservice","Adobe Acrobat Update Service",
"Running","AdobeUpdateService","AdobeUpdateService",
"Stopped","AJRouter","AllJoyn Router Service",
"Stopped","ALG","Application Layer Gateway Service",
"Running","AMD Crash Defender Service","AMD Crash Defender Service",
"Stopped","AppIDSvc","Application Identity",
"Running","Appinfo","Application Information",
"Stopped","AppMgmt","Application Management",
"Stopped","AppReadiness","App Readiness",
"Stopped","AppVClient","Microsoft App-V Client",
"Running","AppXSvc","AppX Deployment Service (AppXSVC)",
"Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service",
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder",
"Running","Audiosrv","Windows Audio",
"Stopped","autotimesvc","Cellular Time",
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)",
"Stopped","BcastDVRUserService_c6229","GameDVR and Broadcast User Service_c6229",
"Stopped","BDESVC","BitLocker Drive Encryption Service",
"Running","BFE","Base Filtering Engine",
"Stopped","BITS","Background Intelligent Transfer Service",
"Stopped","BluetoothUserService_c6229","Bluetooth User Support Service_c6229",
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service",
"Stopped","BTAGService","Bluetooth Audio Gateway Service",
"Running","BthAvctpSvc","AVCTP service",
"Stopped","bthserv","Bluetooth Support Service",
"Running","camsvc","Capability Access Manager Service",
"Stopped","CaptureService_c6229","CaptureService_c6229",
"Running","cbdhsvc_c6229","Clipboard User Service_c6229",
"Running","CcmExec","SMS Agent Host",
"Running","CDPSvc","Connected Devices Platform Service",
"Running","CDPUserSvc_c6229","Connected Devices Platform User Service_c6229",
"Stopped","CertPropSvc","Certificate Propagation",
"Running","ClickToRunSvc","Microsoft Office Click-to-Run Service",
"Running","client_service","VMware Horizon Client",
"Stopped","ClipSVC","Client License Service (ClipSVC)",
"Stopped","cloudidsvc","Microsoft Cloud Identity Service",
"Stopped","CmRcService","Configuration Manager Remote Control",
"Stopped","COMSysApp","COM+ System Application",
"Stopped","ConsentUxUserSvc_c6229","ConsentUX_c6229",
"Running","CoreMessagingRegistrar","CoreMessaging",
