#TYPE Selected.System.Diagnostics.Process
"ProcessName","Id","Path"
"Adobe CEF Helper","516","C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe"
"Adobe CEF Helper","15084","C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe"
"Adobe CEF Helper","35808","C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe"
"Adobe Desktop Service","38904","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe"
"AdobeIPCBroker","35364","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe"
"AdobeUpdateService","3944",
"aeagent","5224",
"agentmonitor","4052",
"AGMService","3144",
"AGSService","3056",
"ApplicationFrameHost","35784","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"armsvc","3936",
"audiodg","30276",
"bash","42132","C:\Program Files\Git for Windows\usr\bin\bash.exe"
"CCLibrary","4680","C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe"
"CcmExec","3580",
"CCXProcess","36288","C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe"
"Code","4720","C:\Program Files\vscode\Code.exe"
"Code","10424","C:\Program Files\vscode\Code.exe"
"Code","13732","C:\Program Files\vscode\Code.exe"
"Code","30196","C:\Program Files\vscode\Code.exe"
"Code","32604","C:\Program Files\vscode\Code.exe"
"Code","34080","C:\Program Files\vscode\Code.exe"
"Code","37568","C:\Program Files\vscode\Code.exe"
"Code","38212","C:\Program Files\vscode\Code.exe"
"conhost","5260",
"conhost","16436","C:\WINDOWS\system32\conhost.exe"
"conhost","22568","C:\WINDOWS\system32\conhost.exe"
"conhost","26236","C:\WINDOWS\system32\conhost.exe"
"conhost","35360","C:\WINDOWS\system32\conhost.exe"
"conhost","42168","C:\WINDOWS\system32\conhost.exe"
"CoreSync","41092","C:\Program Files (x86)\Adobe\Adobe Sync\CoreSync\CoreSync.exe"
"CptService","4332",
"Creative Cloud","11200","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe"
"Creative Cloud Helper","16352","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud Helper.exe"
"Creative Cloud Helper","41472","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud Helper.exe"
"csrss","684",
"csrss","20640",
"ctfmon","38924",
"dllhost","7636",
"dllhost","25236","C:\WINDOWS\system32\DllHost.exe"
"dwm","33872",
"eguiProxy","40464","C:\Program Files\ESET\ESET Security\eguiproxy.exe"
"ekrn","2292",
"ERAAgent","12036",
"explorer","36024","C:\WINDOWS\Explorer.EXE"
"fontdrvhost","772",
"fontdrvhost","34316",
"ftnlsv","4020",
"ftscanmgrhv","4068",
"git-bash","41044","C:\Program Files\Git for Windows\git-bash.exe"
"horizon_client_service","3924",
"Idle","0",
"igfxCUIService","2068",
"igfxEM","11352","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_2cec8fd58a80e6ea\igfxEM.exe"
"IntelCpHDCPSvc","1540",
"IntelCpHeciSvc","1904",
"jhi_service","4084",
"kass","40824","C:\WINDOWS\kass.exe"
"keyacc32","4044",
"lsass","912",
"Memory Compression","2868",
"Microsoft.Photos","38900","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2022.30100.19004.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe"
"mintty","38916","C:\Program Files\Git for Windows\usr\bin\mintty.exe"
"MoUsoCoreWorker","8116",
"msedge","7044","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","11844","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","23832","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","28468","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","30528","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","30664","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","30712","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","33900","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","39604","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","39864","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","40644","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","41672","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","42776","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"node","29864","C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\libs\node.exe"
"node","34276","C:\Program Files\Adobe\Adobe Creative Cloud Experience\libs\node.exe"
"obs64","27104","C:\Program Files\obs-studio\bin\64bit\obs64.exe"
"obs-ffmpeg-mux","42696","C:\Program Files\obs-studio\bin\64bit\obs-ffmpeg-mux.exe"
"OfficeClickToRun","4036",
"OneDrive","39200","C:\Users\zachary.morin\AppData\Local\Microsoft\OneDrive\OneDrive.exe"
"powershell","26844","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"PresentationFontCache","8772",
"Registry","124",
"RtkNGUI64","11268","C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe"
"RuntimeBroker","22424","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","31860","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","33296","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","38288","C:\Windows\System32\RuntimeBroker.exe"
"SCNotification","28972","C:\WINDOWS\CCM\SCNotification.exe"
"SearchApp","15488","C:\WINDOWS\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"
"SearchIndexer","7840",
"SearchProtocolHost","33332",
"SecurityHealthService","9284",
"SecurityHealthSystray","41604","C:\Windows\System32\SecurityHealthSystray.exe"
"services","852",
"SgrmBroker","548",
"ShellExperienceHost","37756","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"sihost","31916","C:\WINDOWS\system32\sihost.exe"
"smartscreen","37924","C:\Windows\System32\smartscreen.exe"
"smss","472",
"spoolsv","3796",
"sqlwriter","3352",
"StartMenuExperienceHost","42440","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"svchost","280",
"svchost","692",
"svchost","1060",
"svchost","1108",
"svchost","1224",
"svchost","1240",
"svchost","1340",
"svchost","1380",
"svchost","1388",
"svchost","1396",
"svchost","1472",
"svchost","1504",
"svchost","1520",
"svchost","1532",
"svchost","1572",
"svchost","1592",
"svchost","1616",
"svchost","1868",
"svchost","1984",
"svchost","2032",
"svchost","2284",
"svchost","2328",
"svchost","2512",
"svchost","2560",
"svchost","2568",
"svchost","2576",
"svchost","2616",
"svchost","2624",
"svchost","2732",
"svchost","2740",
"svchost","2920",
"svchost","2936",
"svchost","3020",
"svchost","3112",
"svchost","3220",
"svchost","3252",
"svchost","3272",
"svchost","3456",
"svchost","3516",
"svchost","3596",
"svchost","3620",
"svchost","3628",
"svchost","3672",
"svchost","3704",
"svchost","3884",
"svchost","3896",
"svchost","3908",
"svchost","3980",
"svchost","4060",
"svchost","4124",
"svchost","4296",
"svchost","4548",
"svchost","4736",
"svchost","4772",
"svchost","4780",
"svchost","5272",
"svchost","6140",
"svchost","7108",
"svchost","7276",
"svchost","7672",
"svchost","7956",
"svchost","8060",
"svchost","8796",
"svchost","8896",
"svchost","9588",
"svchost","10496",
"svchost","10604",
"svchost","10840",
"svchost","10848",
"svchost","12952",
"svchost","14896",
"svchost","16780",
"svchost","17896",
"svchost","26192",
"svchost","28220","C:\WINDOWS\system32\svchost.exe"
"svchost","29176",
"svchost","29960",
"svchost","29972",
"svchost","30372","C:\WINDOWS\system32\svchost.exe"
"svchost","30472","C:\WINDOWS\system32\svchost.exe"
"svchost","35888",
"svchost","37088","C:\WINDOWS\system32\svchost.exe"
"svchost","37352",
"System","4",
"taskhostw","39212","C:\WINDOWS\system32\taskhostw.exe"
"TextInputHost","31548","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"
"TiWorker","31520",
"TrustedInstaller","17824",
"unsecapp","5576",
"vmnat","4236",
"vmnetdhcp","4188",
"vmware-authd","3848",
"vmware-hostd","5984",
"vmware-tray","18952","C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe"
"vmware-usbarbitrator64","4252",
"vmwsprrdpwks","4348",
"wininit","780",
"winlogon","32528",
"WmiPrvSE","1568",
"WmiPrvSE","2784",
